"County","State","Outbreak Date","Flock Type","Flock_Size"
"Sedgwick","Kansas","12-20-2024","WOAH Non-Poultry","30"
"Chippewa","Minnesota","12-20-2024","Commercial Turkey Meat Bird","54800"
"Houston","Minnesota","12-20-2024","WOAH Non-Poultry","60"
"Greene","Mississippi","12-20-2024","Commercial Broiler Breeder","26000"
"Cooper","Missouri","12-20-2024","Commercial Turkey Breeder Hens","13000"
"Craighead","Arkansas","12-20-2024","WOAH Non-Poultry","50"
"Mahaska","Iowa","12-20-2023","WOAH Non-Poultry","30"
"Benton","Oregon","12-20-2023","WOAH Non-Poultry","50"
"Charles Mix","South Dakota","12-20-2023","Commercial Upland Gamebird Producer","50"
"Merced","California","12-20-2023","Commercial Turkey Meat Bird","73700"
"Merced","California","12-20-2023","Commercial Table Egg Layer","243300"
"Gem","Idaho","12-20-2022","WOAH Non-Poultry","80"
"Weld","Colorado","12-20-2022","Commercial Table Egg Layer","239700"
"Hanson","South Dakota","12-20-2022","Commercial Turkey Meat Bird","31800"
"Stanislaus","California","12-19-2024","Commercial Table Egg Layer","295800"
"Kenosha","Wisconsin","12-19-2024","WOAH Poultry","6"
"Deschutes","Oregon","12-19-2024","WOAH Non-Poultry","90"
"Cullman","Alabama","12-19-2024","Commercial Broiler Production","116000"
"Greene","Ohio","12-19-2024","WOAH Poultry","110"
"Pickens","Alabama","12-19-2024","WOAH Non-Poultry","50"
"Fillmore","Minnesota","12-19-2024","Commercial Turkey Meat Bird","28600"
"Jackson","Arkansas","12-19-2024","WOAH Non-Poultry","230"
"Stearns","Minnesota","12-19-2024","Commercial Turkey Meat Bird","12600"
"Coos","Oregon","12-19-2024","WOAH Non-Poultry","40"
"King","Washington","12-19-2023","WOAH Poultry","90"
"Mcpherson","Kansas","12-19-2023","WOAH Poultry","20000"
"Barton","Kansas","12-19-2023","WOAH Non-Poultry","70"
"Rice","Kansas","12-19-2023","Commercial Table Egg Layer","800000"
"Sonoma","California","12-19-2023","Commercial Duck Meat Bird","3600"
"Muskegon","Michigan","12-19-2023","Commercial Turkey Meat Bird","47900"
"Lassen","California","12-19-2023","WOAH Non-Poultry","90"
"Mendocino","California","12-19-2022","WOAH Non-Poultry","20"
"Howard","Missouri","12-18-2024","WOAH Non-Poultry","60"
"Nelson","North Dakota","12-18-2024","WOAH Non-Poultry","60"
"Rooks","Kansas","12-18-2024","Commercial Raised for Release Upland Game Bird","5300"
"Doniphan","Kansas","12-18-2024","Commercial Raised for Release Upland Game Bird","5700"
"Jefferson Davis","Louisiana","12-18-2024","WOAH Non-Poultry","30"
"Sonoma","California","12-18-2023","WOAH Poultry","38100"
"Edmunds","South Dakota","12-18-2023","Commercial Upland Gamebird Producer","1000"
"Sonoma","California","12-18-2023","Commercial Table Egg Layer","497700"
"Rice","Kansas","12-18-2023","WOAH Non-Poultry","100"
"Charles Mix","South Dakota","12-17-2024","Commercial Turkey Meat Bird","74800"
"O'brien","Iowa","12-17-2024","Commercial Table Egg Layer","351400"
"Lemhi","Idaho","12-17-2024","WOAH Non-Poultry","20"
"Bon Homme","South Dakota","12-17-2024","Commercial Turkey Meat Bird","48700"
"Lemhi","Idaho","12-17-2024","WOAH Non-Poultry","150"
"Lancaster","Nebraska","12-17-2024","WOAH Poultry","290"
"Monona","Iowa","12-17-2024","WOAH Non-Poultry","30"
"Sioux","Iowa","12-17-2024","Commercial Table Egg Layer","428600"
"Charles Mix","South Dakota","12-17-2024","WOAH Poultry","1800"
"Worth","Iowa","12-17-2024","Commercial Turkey Meat Bird","19500"
"Stanislaus","California","12-17-2024","Commercial Turkey Meat Bird","33100"
"Merced","California","12-16-2024","Commercial Turkey Meat Bird","53100"
"Merced","California","12-16-2024","Commercial Table Egg Pullets","424700"
"Sarpy","Nebraska","12-16-2024","WOAH Non-Poultry","30"
"Duval","Florida","12-16-2022","WOAH Non-Poultry","10"
"Butte","California","12-16-2022","WOAH Non-Poultry","20"
"Flathead","Montana","12-16-2022","WOAH Non-Poultry","0"
"Weld","Colorado","12-16-2022","Commercial Table Egg Layer","1291000"
"Latah","Idaho","12-15-2023","WOAH Poultry","200"
"Waseca","Minnesota","12-15-2023","WOAH Non-Poultry","90"
"Polk","Oregon","12-15-2022","WOAH Non-Poultry","20"
"Bossier","Louisiana","12-14-2024","WOAH Non-Poultry","40"
"Monterey","California","12-14-2024","Commercial Duck Breeder","13700"
"Merced","California","12-14-2024","Commercial Duck Meat Bird","119000"
"Tulare","California","12-14-2024","Commercial Duck Meat Bird","41100"
"Clatsop","Oregon","12-14-2023","WOAH Non-Poultry","30"
"Scott","Arkansas","12-14-2023","WOAH Non-Poultry","180"
"Darke","Ohio","12-14-2023","Commercial Table Egg Layer","522300"
"Knox","Nebraska","12-14-2022","WOAH Poultry","160"
"Moody","South Dakota","12-14-2022","Commercial Table Egg Layer","1332100"
"Weakley","Tennessee","12-14-2022","WOAH Poultry","37900"
"Franklin","Washington","12-14-2022","Commercial Table Egg Layer","1015500"
"Spink","South Dakota","12-14-2022","WOAH Poultry","280"
"Redwood","Minnesota","12-14-2022","WOAH Non-Poultry","40"
"Livingston","Illinois","12-13-2024","Commercial Turkey Breeder Hens","40500"
"Barron","Wisconsin","12-13-2024","Commercial Turkey Breeder Hens","13200"
"Tulare","California","12-13-2024","Commercial Broiler Production","514500"
"Merced","California","12-13-2023","Commercial Broiler Production","183100"
"San Joaquin","California","12-13-2023","Commercial Duck Breeder","6000"
"Weld","Colorado","12-13-2023","WOAH Non-Poultry","30"
"Mcpherson","Kansas","12-13-2023","WOAH Poultry","20000"
"Rice","Kansas","12-13-2023","Commercial Table Egg Layer","700000"
"Merced","California","12-13-2023","Commercial Table Egg Layer","1358600"
"Columbia","Oregon","12-13-2022","WOAH Non-Poultry","100"
"Daviess","Indiana","12-13-2022","Commercial Turkey Meat Bird","11400"
"Linn","Oregon","12-13-2022","WOAH Non-Poultry","20"
"Kingsbury","South Dakota","12-12-2024","Commercial Turkey Meat Bird","39300"
"Sac","Iowa","12-12-2024","Commercial Turkey Meat Bird","45200"
"Pope","Arkansas","12-12-2024","WOAH Non-Poultry","40"
"Craighead","Arkansas","12-12-2024","WOAH Non-Poultry","10"
"Lake","South Dakota","12-12-2023","Commercial Turkey Meat Bird","76000"
"Etowah","Alabama","12-12-2023","WOAH Non-Poultry","80"
"St. Louis","Missouri","12-12-2023","WOAH Non-Poultry","20"
"Dutchess","New York","12-12-2023","WOAH Poultry","4200"
"Sac","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Wadena","Minnesota","12-12-2022","Commercial Turkey Meat Bird","298100"
"Cherokee","Iowa","12-12-2022","Commercial Turkey Meat Bird","50000"
"Buena Vista","Iowa","12-12-2022","Commercial Turkey Meat Bird","51200"
"Hanson","South Dakota","12-12-2022","Commercial Turkey Meat Bird","23900"
"Ida","Iowa","12-12-2022","Commercial Turkey Meat Bird","90000"
"Palo Alto","Iowa","12-11-2024","Commercial Turkey Meat Bird","31100"
"Sioux","Iowa","12-11-2024","Commercial Table Egg Layer","1575700"
"Adair","Oklahoma","12-11-2024","WOAH Poultry","40000"
"Dodge","Nebraska","12-11-2024","WOAH Non-Poultry","10"
"Brule","South Dakota","12-11-2024","Commercial Turkey Meat Bird","50900"
"Olmsted","Minnesota","12-11-2023","Commercial Turkey Breeder Hens","14400"
"La Plata","Colorado","12-10-2024","WOAH Non-Poultry","20"
"Cedar","Missouri","12-10-2024","WOAH Non-Poultry","20"
"Beadle","South Dakota","12-10-2024","Commercial Turkey Meat Bird","52200"
"Stanislaus","California","12-10-2024","Commercial Duck Breeder","81800"
"Tulare","California","12-10-2024","Commercial Broiler Production","330200"
"Daviess","Missouri","12-10-2024","WOAH Poultry","19900"
"Charles Mix","South Dakota","12-10-2024","Commercial Turkey Meat Bird","32400"
"Jefferson","Idaho","12-10-2024","WOAH Non-Poultry","60"
"Moody","South Dakota","12-10-2024","Commercial Turkey Meat Bird","46700"
"Jewell","Kansas","12-10-2024","WOAH Non-Poultry","40"
"Franklin","Idaho","12-10-2024","WOAH Non-Poultry","40"
"Kern","California","12-09-2024","WOAH Poultry","45400"
"Lafayette","Arkansas","12-09-2024","WOAH Non-Poultry","40"
"Hutchinson","South Dakota","12-09-2024","Commercial Turkey Meat Bird","42800"
"Beadle","South Dakota","12-09-2024","Commercial Turkey Meat Bird","50600"
"Onslow","North Carolina","12-09-2022","WOAH Non-Poultry","60"
"Polk","Oregon","12-09-2022","WOAH Non-Poultry","70"
"Osage","Missouri","12-09-2022","Commercial Turkey Meat Bird","19700"
"Prowers","Colorado","12-09-2022","Commercial Upland Gamebird Producer","11000"
"Clackamas","Oregon","12-09-2022","WOAH Non-Poultry","60"
"Barron","Wisconsin","12-08-2023","Commercial Turkey Meat Bird","70000"
"Barton","Kansas","12-08-2023","WOAH Non-Poultry","30"
"Mills","Iowa","12-08-2023","WOAH Non-Poultry","10"
"Charles Mix","South Dakota","12-08-2023","Commercial Turkey Meat Bird","32400"
"Hamlin","South Dakota","12-08-2022","Commercial Turkey Meat Bird","58100"
"Dodge","Minnesota","12-08-2022","Commercial Turkey Meat Bird","10000"
"Dade","Missouri","12-08-2022","WOAH Non-Poultry","30"
"Darke","Ohio","12-07-2023","Commercial Turkey Meat Bird","15200"
"Montmorency","Michigan","12-07-2023","WOAH Poultry","100"
"Sonoma","California","12-07-2023","Commercial Duck Meat Bird","4900"
"Carroll","Arkansas","12-07-2023","Commercial Turkey Meat Bird","33300"
"Stanislaus","California","12-07-2023","Commercial Broiler Production","258600"
"Hardin","Ohio","12-07-2023","Commercial Table Egg Layer","2613600"
"Orleans","Vermont","12-07-2023","WOAH Non-Poultry","40"
"Cherokee","Iowa","12-07-2022","Commercial Turkey Meat Bird","105000"
"Sac","Iowa","12-07-2022","Commercial Turkey Meat Bird","40000"
"Kingsbury","South Dakota","12-07-2022","WOAH Non-Poultry","70"
"Nemaha","Nebraska","12-06-2024","Commercial Turkey Breeder Hens","12400"
"Pitkin","Colorado","12-06-2024","WOAH Non-Poultry","50"
"Sioux","Iowa","12-06-2024","Commercial Table Egg Layer","4200000"
"Stanislaus","California","12-06-2024","WOAH Poultry","44100"
"Washakie","Wyoming","12-06-2024","WOAH Non-Poultry","20"
"Todd","Minnesota","12-06-2023","Commercial Turkey Meat Bird","64000"
"Sonoma","California","12-06-2023","Commercial Table Egg Layer","232000"
"Hamlin","South Dakota","12-06-2023","Commercial Turkey Meat Bird","56200"
"Bon Homme","South Dakota","12-06-2023","Commercial Turkey Meat Bird","47600"
"Becker","Minnesota","12-06-2023","Commercial Breeder Operation","20600"
"Pawnee","Oklahoma","12-06-2022","WOAH Non-Poultry","30"
"Harrison","Missouri","12-06-2022","WOAH Non-Poultry","30"
"Larimer","Colorado","12-06-2022","WOAH Non-Poultry","2"
"Denton","Texas","12-06-2022","WOAH Non-Poultry","40"
"Lamoille","Vermont","12-06-2022","WOAH Non-Poultry","50"
"Merced","California","12-05-2024","Commercial Table Egg Layer","306100"
"Merced","California","12-05-2024","Commercial Table Egg Layer","793700"
"Merced","California","12-05-2024","Commercial Table Egg Layer","1723800"
"San Joaquin","California","12-05-2024","Commercial Duck Meat Bird","13000"
"Otter Tail","Minnesota","12-05-2023","Commercial Turkey Meat Bird","26300"
"Kingsbury","South Dakota","12-05-2023","WOAH Non-Poultry","370"
"Spink","South Dakota","12-05-2023","Commercial Turkey Meat Bird","26600"
"Shawnee","Kansas","12-05-2023","WOAH Non-Poultry","70"
"Stanislaus","California","12-05-2023","Commercial Broiler Production","254400"
