"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Hickory County, Missouri","8,274","8,299","8,572","8,575","8,718"
" Holt County, Missouri","4,231","4,189","4,232","4,254","4,248"
" Howard County, Missouri","10,155","10,157","10,145","10,179","10,101"
" Howell County, Missouri","39,749","39,799","40,016","40,623","40,735"
" Iron County, Missouri","9,534","9,511","9,429","9,413","9,440"
" Jackson County, Missouri","717,216","717,615","717,875","716,218","718,560"
" Jasper County, Missouri","122,770","122,907","123,324","124,016","125,056"
" Jefferson County, Missouri","226,569","226,937","227,993","229,220","231,230"
" Johnson County, Missouri","54,010","54,031","54,194","54,449","54,962"
" Knox County, Missouri","3,743","3,739","3,785","3,777","3,723"
" Laclede County, Missouri","36,037","36,043","36,156","36,345","36,680"
" Lafayette County, Missouri","32,983","33,055","32,834","32,967","33,196"
" Lawrence County, Missouri","38,011","38,000","38,268","38,689","38,872"
" Lewis County, Missouri","10,032","10,037","9,994","9,886","9,818"
" Lincoln County, Missouri","59,578","59,854","61,640","63,182","64,699"
" Linn County, Missouri","11,875","11,858","11,842","11,826","11,791"
" Livingston County, Missouri","14,548","13,985","14,191","14,335","14,557"
" McDonald County, Missouri","23,301","23,280","23,429","23,593","23,903"
" Macon County, Missouri","15,210","15,196","15,178","15,076","15,161"
" Madison County, Missouri","12,626","12,626","12,664","12,757","12,698"
" Maries County, Missouri","8,428","8,451","8,417","8,432","8,430"
" Marion County, Missouri","28,529","28,486","28,556","28,489","28,336"
" Mercer County, Missouri","3,537","3,513","3,481","3,466","3,469"
" Miller County, Missouri","24,727","24,775","24,941","25,403","25,590"
" Mississippi County, Missouri","12,573","12,125","12,105","11,665","11,822"
" Moniteau County, Missouri","15,474","15,212","15,310","15,260","15,256"
" Monroe County, Missouri","8,662","8,687","8,701","8,635","8,698"
" Montgomery County, Missouri","11,312","11,281","11,433","11,479","11,459"
" Morgan County, Missouri","21,002","20,995","21,430","21,786","21,970"
" New Madrid County, Missouri","16,428","16,325","16,035","15,710","15,424"
" Newton County, Missouri","58,647","58,692","59,440","60,096","60,677"
" Nodaway County, Missouri","21,235","20,997","20,983","20,715","20,695"
" Oregon County, Missouri","8,636","8,608","8,625","8,703","8,720"
" Osage County, Missouri","13,275","13,259","13,398","13,398","13,468"
" Ozark County, Missouri","8,552","8,517","8,785","8,954","8,970"
" Pemiscot County, Missouri","15,662","15,588","15,241","14,865","14,613"
" Perry County, Missouri","18,954","18,970","18,972","18,878","18,950"
" Pettis County, Missouri","42,984","43,006","43,213","43,397","43,530"
" Phelps County, Missouri","44,636","44,559","44,899","45,273","45,284"
" Pike County, Missouri","17,581","17,400","17,596","17,644","17,935"
" Platte County, Missouri","106,733","107,193","108,744","110,570","111,940"
" Polk County, Missouri","31,524","31,617","32,042","32,659","32,780"
" Pulaski County, Missouri","53,960","54,010","53,815","53,810","53,812"
" Putnam County, Missouri","4,678","4,689","4,695","4,662","4,638"
" Ralls County, Missouri","10,356","10,358","10,368","10,410","10,489"
" Randolph County, Missouri","24,707","24,448","24,563","24,626","24,109"
" Ray County, Missouri","23,161","23,133","23,089","23,121","23,182"
" Reynolds County, Missouri","6,097","6,081","6,084","5,996","5,950"
" Ripley County, Missouri","10,677","10,669","10,645","10,714","10,806"
" St. Charles County, Missouri","405,271","406,417","410,465","413,798","416,659"
" St. Clair County, Missouri","9,283","9,347","9,413","9,595","9,752"
" Ste. Genevieve County, Missouri","18,478","18,476","18,569","18,613","18,642"
" St. Francois County, Missouri","66,919","66,443","67,010","66,906","67,058"
" St. Louis County, Missouri","1,004,305","1,003,130","998,439","990,791","987,059"
" Saline County, Missouri","23,327","23,331","23,253","23,003","23,049"
" Schuyler County, Missouri","4,029","4,006","4,015","4,000","4,053"
" Scotland County, Missouri","4,717","4,707","4,674","4,647","4,676"
" Scott County, Missouri","38,054","38,020","37,886","37,868","37,889"
" Shannon County, Missouri","7,026","7,028","7,090","7,216","7,238"
" Shelby County, Missouri","6,102","6,087","5,965","5,996","5,931"
" Stoddard County, Missouri","28,677","28,651","28,519","28,390","28,397"
" Stone County, Missouri","31,082","31,212","31,592","32,134","32,658"
" Sullivan County, Missouri","5,997","5,985","5,898","5,816","5,797"
" Taney County, Missouri","56,058","56,062","56,304","56,749","56,775"
" Texas County, Missouri","24,492","24,324","24,868","25,304","25,619"
" Vernon County, Missouri","19,709","19,670","19,588","19,599","19,710"
" Warren County, Missouri","35,528","35,732","36,551","37,290","37,806"
" Washington County, Missouri","23,515","23,424","23,392","23,392","23,534"
" Wayne County, Missouri","10,974","10,936","10,922","10,817","10,811"
" Webster County, Missouri","39,089","39,013","39,601","40,366","41,472"
" Worth County, Missouri","1,968","1,963","1,967","1,940","1,907"
" Wright County, Missouri","18,188","18,213","18,621","19,143","19,403"
" St. Louis city, Missouri","301,565","300,496","293,622","286,193","281,754"
" Beaverhead County, Montana","9,374","9,382","9,553","9,747","9,885"
" Big Horn County, Montana","13,125","13,080","12,893","12,826","12,751"
" Blaine County, Montana","7,044","7,007","7,003","6,972","6,899"
" Broadwater County, Montana","6,775","6,860","7,323","7,771","8,032"
" Carbon County, Montana","10,471","10,505","10,889","11,236","11,419"
" Carter County, Montana","1,411","1,404","1,413","1,403","1,418"
" Cascade County, Montana","84,409","84,407","84,551","85,001","84,900"
" Chouteau County, Montana","5,898","5,899","5,921","5,908","5,847"
" Custer County, Montana","11,869","11,866","11,961","12,000","11,985"
" Daniels County, Montana","1,657","1,654","1,671","1,645","1,633"
" Dawson County, Montana","8,944","8,924","8,858","8,807","8,810"
" Deer Lodge County, Montana","9,424","9,420","9,518","9,544","9,673"
" Fallon County, Montana","3,049","3,029","3,011","3,050","2,994"
" Fergus County, Montana","11,447","11,475","11,622","11,672","11,772"
" Flathead County, Montana","104,354","104,876","108,769","111,885","113,679"
" Gallatin County, Montana","118,958","119,597","123,098","124,938","126,409"
" Garfield County, Montana","1,172","1,172","1,208","1,218","1,211"
" Glacier County, Montana","13,777","13,745","13,724","13,650","13,609"
" Golden Valley County, Montana","824","821","815","826","835"
" Granite County, Montana","3,310","3,312","3,360","3,497","3,595"
" Hill County, Montana","16,311","16,271","16,220","16,118","16,276"
" Jefferson County, Montana","12,082","12,142","12,468","12,831","13,048"
" Judith Basin County, Montana","2,016","2,020","2,038","2,079","2,093"
" Lake County, Montana","31,142","31,258","32,090","32,853","33,338"
" Lewis and Clark County, Montana","70,970","71,177","72,507","73,784","75,011"
" Liberty County, Montana","1,956","1,954","1,933","1,974","1,974"
" Lincoln County, Montana","19,672","19,734","20,582","21,510","21,895"
" McCone County, Montana","1,726","1,728","1,709","1,711","1,676"
" Madison County, Montana","8,627","8,661","8,953","9,252","9,521"
" Meagher County, Montana","1,924","1,920","1,958","2,026","2,071"
" Mineral County, Montana","4,531","4,568","4,859","5,020","5,090"
" Missoula County, Montana","117,927","118,347","119,841","121,011","121,849"
" Musselshell County, Montana","4,737","4,750","4,908","5,169","5,308"
" Park County, Montana","17,190","17,223","17,515","17,753","17,903"
" Petroleum County, Montana","495","499","518","521","554"
" Phillips County, Montana","4,220","4,213","4,210","4,228","4,249"
" Pondera County, Montana","5,903","5,878","6,018","6,092","6,125"
" Powder River County, Montana","1,697","1,696","1,710","1,732","1,743"
" Powell County, Montana","6,945","6,942","7,025","7,078","7,133"
" Prairie County, Montana","1,091","1,091","1,097","1,108","1,112"
" Ravalli County, Montana","44,171","44,411","46,084","47,177","47,738"
" Richland County, Montana","11,494","11,534","11,329","11,230","11,173"
" Roosevelt County, Montana","10,798","10,801","10,788","10,537","10,319"
" Rosebud County, Montana","8,335","8,309","8,086","8,152","8,160"
" Sanders County, Montana","12,398","12,458","12,944","13,384","13,684"
" Sheridan County, Montana","3,546","3,540","3,576","3,555","3,498"
" Silver Bow County, Montana","35,132","35,210","35,502","35,947","36,360"
" Stillwater County, Montana","8,964","9,003","9,024","9,169","9,173"
" Sweet Grass County, Montana","3,677","3,670","3,702","3,727","3,763"
" Teton County, Montana","6,226","6,252","6,275","6,346","6,430"
" Toole County, Montana","4,975","4,972","4,992","5,077","5,133"
" Treasure County, Montana","760","759","768","754","772"
" Valley County, Montana","7,576","7,556","7,560","7,542","7,474"
" Wheatland County, Montana","2,070","2,076","2,042","2,038","2,057"
" Wibaux County, Montana","937","935","936","927","910"
" Yellowstone County, Montana","164,731","165,218","167,438","169,870","170,843"
" Adams County, Nebraska","31,199","31,178","30,967","30,947","30,899"
" Antelope County, Nebraska","6,292","6,279","6,295","6,305","6,302"
" Arthur County, Nebraska","430","429","432","425","412"
" Banner County, Nebraska","676","679","690","657","674"
" Blaine County, Nebraska","428","427","462","452","436"
" Boone County, Nebraska","5,375","5,357","5,382","5,366","5,310"
" Box Butte County, Nebraska","10,842","10,828","10,663","10,683","10,692"
" Boyd County, Nebraska","1,810","1,801","1,780","1,730","1,725"
" Brown County, Nebraska","2,895","2,896","2,913","2,883","2,853"
" Buffalo County, Nebraska","50,084","50,193","50,300","50,532","50,697"
" Burt County, Nebraska","6,724","6,719","6,709","6,770","6,727"
" Butler County, Nebraska","8,374","8,360","8,454","8,443","8,459"
" Cass County, Nebraska","26,604","26,611","27,080","27,152","27,446"
" Cedar County, Nebraska","8,380","8,375","8,332","8,366","8,262"
" Chase County, Nebraska","3,895","3,888","3,824","3,754","3,724"
" Cherry County, Nebraska","5,453","5,452","5,447","5,485","5,492"
" Cheyenne County, Nebraska","9,464","9,483","9,498","9,526","9,541"
" Clay County, Nebraska","6,099","6,100","6,039","6,049","6,116"
" Colfax County, Nebraska","10,580","10,557","10,477","10,453","10,566"
" Cuming County, Nebraska","9,010","9,009","8,990","8,953","8,918"
" Custer County, Nebraska","10,532","10,483","10,486","10,504","10,581"
" Dakota County, Nebraska","21,587","21,554","21,282","21,116","21,268"
" Dawes County, Nebraska","8,200","8,156","8,149","8,252","8,133"
" Dawson County, Nebraska","24,109","24,085","23,934","23,905","24,085"
" Deuel County, Nebraska","1,837","1,831","1,847","1,901","1,871"
" Dixon County, Nebraska","5,611","5,595","5,570","5,516","5,491"
" Dodge County, Nebraska","37,171","37,116","37,128","37,045","37,187"
" Douglas County, Nebraska","584,531","585,431","585,452","586,106","589,540"
" Dundy County, Nebraska","1,657","1,654","1,633","1,595","1,561"
" Fillmore County, Nebraska","5,559","5,574","5,559","5,541","5,548"
" Franklin County, Nebraska","2,889","2,889","2,878","2,850","2,825"
" Frontier County, Nebraska","2,515","2,501","2,544","2,611","2,585"
" Furnas County, Nebraska","4,632","4,626","4,607","4,570","4,556"
" Gage County, Nebraska","21,707","21,656","21,633","21,564","21,634"
" Garden County, Nebraska","1,873","1,886","1,838","1,835","1,794"
" Garfield County, Nebraska","1,815","1,807","1,833","1,787","1,763"
" Gosper County, Nebraska","1,895","1,896","1,829","1,835","1,847"
" Grant County, Nebraska","611","613","577","584","565"
" Greeley County, Nebraska","2,189","2,179","2,181","2,235","2,219"
" Hall County, Nebraska","62,893","62,764","62,075","62,096","62,197"
" Hamilton County, Nebraska","9,424","9,400","9,384","9,439","9,537"
" Harlan County, Nebraska","3,076","3,057","3,097","3,032","3,045"
" Hayes County, Nebraska","859","856","850","864","846"
" Hitchcock County, Nebraska","2,612","2,618","2,599","2,614","2,552"
" Holt County, Nebraska","10,120","10,096","10,052","10,013","10,093"
" Hooker County, Nebraska","709","705","732","682","679"
" Howard County, Nebraska","6,470","6,483","6,521","6,509","6,527"
" Jefferson County, Nebraska","7,240","7,259","7,159","7,140","7,054"
" Johnson County, Nebraska","5,287","5,294","5,314","5,245","5,198"
" Kearney County, Nebraska","6,683","6,688","6,683","6,706","6,770"
" Keith County, Nebraska","8,327","8,322","8,253","8,179","8,113"
" Keya Paha County, Nebraska","769","760","796","805","805"
" Kimball County, Nebraska","3,439","3,412","3,411","3,336","3,289"
" Knox County, Nebraska","8,393","8,384","8,406","8,307","8,298"
" Lancaster County, Nebraska","322,613","323,165","323,404","324,434","326,716"
" Lincoln County, Nebraska","34,674","34,532","34,074","33,614","33,365"
" Logan County, Nebraska","718","715","685","685","655"
" Loup County, Nebraska","609","609","604","601","592"
" McPherson County, Nebraska","400","397","381","379","383"
" Madison County, Nebraska","35,589","35,530","35,395","35,414","35,627"
" Merrick County, Nebraska","7,665","7,661","7,667","7,715","7,755"
" Morrill County, Nebraska","4,562","4,560","4,569","4,522","4,504"
" Nance County, Nebraska","3,376","3,390","3,375","3,317","3,274"
" Nemaha County, Nebraska","7,073","7,082","7,004","7,036","7,076"
" Nuckolls County, Nebraska","4,097","4,093","4,071","4,069","4,095"
" Otoe County, Nebraska","15,910","15,901","16,017","16,186","16,335"
" Pawnee County, Nebraska","2,545","2,536","2,538","2,531","2,512"
" Perkins County, Nebraska","2,856","2,858","2,819","2,827","2,795"
" Phelps County, Nebraska","8,971","8,979","8,923","8,988","9,057"
" Pierce County, Nebraska","7,319","7,345","7,319","7,317","7,299"
" Platte County, Nebraska","34,295","34,287","34,295","34,355","34,609"
" Polk County, Nebraska","5,215","5,218","5,191","5,240","5,228"
" Red Willow County, Nebraska","10,701","10,682","10,620","10,528","10,457"
" Richardson County, Nebraska","7,872","7,862","7,786","7,730","7,689"
" Rock County, Nebraska","1,263","1,265","1,275","1,241","1,271"
" Saline County, Nebraska","14,767","14,720","14,525","14,548","14,555"
" Sarpy County, Nebraska","190,597","191,167","193,826","196,427","199,886"
" Saunders County, Nebraska","22,281","22,374","22,832","23,177","23,463"
" Scotts Bluff County, Nebraska","36,094","36,051","35,904","35,769","35,699"
" Seward County, Nebraska","17,608","17,618","17,556","17,625","17,671"
" Sheridan County, Nebraska","5,125","5,096","5,083","5,006","4,928"
" Sherman County, Nebraska","2,959","2,956","2,966","3,006","2,983"
" Sioux County, Nebraska","1,131","1,140","1,146","1,127","1,154"
" Stanton County, Nebraska","5,850","5,829","5,837","5,765","5,856"
" Thayer County, Nebraska","5,033","5,020","4,888","4,854","4,829"
" Thomas County, Nebraska","669","671","676","665","677"
" Thurston County, Nebraska","6,779","6,764","6,633","6,555","6,557"
" Valley County, Nebraska","4,057","4,057","4,062","4,058","4,012"
" Washington County, Nebraska","20,862","20,927","20,991","21,167","21,152"
" Wayne County, Nebraska","9,699","9,696","9,864","9,899","9,874"
" Webster County, Nebraska","3,398","3,392","3,402","3,339","3,351"
" Wheeler County, Nebraska","772","775","785","782","775"
" York County, Nebraska","14,126","14,102","14,239","14,312","14,356"
" Churchill County, Nevada","25,518","25,572","25,664","25,798","25,803"
" Clark County, Nevada","2,265,475","2,274,887","2,295,310","2,322,535","2,336,573"
" Douglas County, Nevada","49,482","49,525","49,999","49,662","49,545"
" Elko County, Nevada","53,700","53,664","53,852","53,979","54,293"
" Esmeralda County, Nevada","730","734","735","747","736"
" Eureka County, Nevada","1,852","1,852","1,908","1,863","1,917"
" Humboldt County, Nevada","17,284","17,271","17,632","17,296","17,136"
" Lander County, Nevada","5,733","5,728","5,761","5,761","5,769"
" Lincoln County, Nevada","4,505","4,445","4,392","4,440","4,452"
" Lyon County, Nevada","59,236","59,465","60,961","61,628","62,583"
" Mineral County, Nevada","4,553","4,554","4,617","4,537","4,528"
" Nye County, Nevada","51,588","51,963","53,324","54,769","55,720"
" Pershing County, Nevada","6,646","6,617","6,427","6,450","6,364"
" Storey County, Nevada","4,100","4,108","4,142","4,165","4,177"
" Washoe County, Nevada","486,493","487,710","494,300","496,980","498,022"
" White Pine County, Nevada","9,076","9,059","8,844","8,746","8,522"
" Carson City, Nevada","58,646","58,686","58,764","58,065","58,036"
" Belknap County, New Hampshire","63,707","63,776","64,599","64,705","65,027"
" Carroll County, New Hampshire","50,105","50,246","51,741","52,154","52,448"
" Cheshire County, New Hampshire","76,454","76,547","76,846","77,463","77,703"
" Coos County, New Hampshire","31,260","31,227","31,379","31,476","31,372"
" Grafton County, New Hampshire","91,122","91,198","90,495","93,131","93,146"
" Hillsborough County, New Hampshire","422,938","422,913","424,413","427,493","427,354"
" Merrimack County, New Hampshire","153,805","154,038","154,622","156,459","157,103"
" Rockingham County, New Hampshire","314,180","314,621","318,260","319,633","320,689"
" Strafford County, New Hampshire","130,895","131,068","131,534","132,571","133,243"
" Sullivan County, New Hampshire","43,058","43,068","43,605","43,918","43,969"
" Atlantic County, New Jersey","274,536","274,190","274,956","275,382","275,213"
" Bergen County, New Jersey","955,743","953,690","955,383","953,540","957,736"
" Burlington County, New Jersey","461,869","461,682","464,479","466,101","469,167"
" Camden County, New Jersey","523,498","523,122","524,093","524,649","527,196"
" Cape May County, New Jersey","95,262","95,044","95,706","95,405","94,610"
" Cumberland County, New Jersey","154,160","153,719","152,083","151,347","152,326"
" Essex County, New Jersey","862,768","859,974","854,233","849,724","851,117"
" Gloucester County, New Jersey","302,273","302,563","304,592","306,767","308,423"
" Hudson County, New Jersey","724,858","721,879","703,448","702,381","705,472"
" Hunterdon County, New Jersey","128,950","128,786","129,671","129,805","130,183"
" Mercer County, New Jersey","387,328","386,466","382,172","380,779","381,671"
" Middlesex County, New Jersey","863,202","861,408","862,364","861,094","863,623"
" Monmouth County, New Jersey","643,612","642,836","646,517","644,228","642,799"
" Morris County, New Jersey","509,288","508,439","510,613","511,219","514,423"
" Ocean County, New Jersey","637,235","638,465","649,825","655,663","659,197"
" Passaic County, New Jersey","525,054","523,439","518,376","513,634","513,395"
" Salem County, New Jersey","64,830","64,841","65,045","65,157","65,338"
" Somerset County, New Jersey","345,353","344,754","346,498","347,047","348,842"
" Sussex County, New Jersey","144,220","143,915","145,721","145,575","146,132"
" Union County, New Jersey","575,363","573,660","572,833","570,417","572,726"
" Warren County, New Jersey","109,637","109,520","110,567","110,903","111,252"
" Bernalillo County, New Mexico","676,452","676,853","675,286","672,957","671,586"
" Catron County, New Mexico","3,577","3,606","3,710","3,793","3,825"
" Chaves County, New Mexico","65,156","65,149","64,650","63,892","63,561"
" Cibola County, New Mexico","27,175","27,101","27,185","26,871","26,780"
" Colfax County, New Mexico","12,384","12,352","12,346","12,272","12,255"
" Curry County, New Mexico","48,426","48,370","47,936","47,430","47,222"
" De Baca County, New Mexico","1,695","1,681","1,679","1,692","1,657"
" Doña Ana County, New Mexico","219,569","220,060","221,732","223,530","225,210"
" Eddy County, New Mexico","62,314","62,333","60,855","60,203","60,275"
" Grant County, New Mexico","28,191","28,205","27,893","27,693","27,472"
" Guadalupe County, New Mexico","4,450","4,439","4,423","4,316","4,292"
" Harding County, New Mexico","653","653","631","621","624"
" Hidalgo County, New Mexico","4,179","4,164","4,086","4,011","3,965"
" Lea County, New Mexico","74,457","74,642","73,062","72,343","72,101"
" Lincoln County, New Mexico","20,266","20,307","20,400","20,343","20,029"
" Los Alamos County, New Mexico","19,420","19,418","19,390","19,273","19,444"
" Luna County, New Mexico","25,426","25,458","25,471","25,693","25,316"
" McKinley County, New Mexico","72,904","72,590","71,464","69,931","68,797"
" Mora County, New Mexico","4,184","4,191","4,189","4,147","4,123"
" Otero County, New Mexico","67,835","67,862","68,486","68,517","68,835"
" Quay County, New Mexico","8,743","8,712","8,620","8,529","8,510"
" Rio Arriba County, New Mexico","40,360","40,271","40,216","39,991","39,876"
" Roosevelt County, New Mexico","19,188","19,148","18,992","18,858","18,787"
" Sandoval County, New Mexico","148,834","149,290","151,478","153,597","155,936"
" San Juan County, New Mexico","121,666","121,376","120,996","120,569","120,675"
" San Miguel County, New Mexico","27,202","27,131","27,155","26,902","26,668"
" Santa Fe County, New Mexico","154,821","155,043","155,400","155,761","155,956"
" Sierra County, New Mexico","11,573","11,562","11,519","11,474","11,488"
" Socorro County, New Mexico","16,594","16,551","16,291","16,111","15,963"
" Taos County, New Mexico","34,490","34,463","34,685","34,590","34,405"
" Torrance County, New Mexico","15,052","15,062","15,313","15,383","15,633"
" Union County, New Mexico","4,082","4,071","4,096","3,982","3,964"
" Valencia County, New Mexico","76,207","76,374","77,315","78,201","79,141"
" Albany County, New York","314,851","314,018","316,178","315,921","316,659"
" Allegany County, New York","46,450","47,328","46,938","46,726","46,651"
" Bronx County, New York","1,472,653","1,461,151","1,424,084","1,381,808","1,356,476"
" Broome County, New York","198,683","198,156","198,562","197,258","196,077"
" Cattaraugus County, New York","77,034","76,974","76,539","76,050","75,600"
" Cayuga County, New York","76,253","76,147","75,451","74,679","74,485"
" Chautauqua County, New York","127,657","127,376","126,183","125,344","124,891"
" Chemung County, New York","84,142","83,668","83,039","81,641","81,325"
" Chenango County, New York","47,220","47,064","46,569","46,331","45,920"
" Clinton County, New York","79,838","79,699","78,993","78,037","78,115"
" Columbia County, New York","61,560","61,414","61,961","61,108","60,470"
" Cortland County, New York","46,800","46,741","46,413","46,081","45,752"
" Delaware County, New York","44,311","44,231","44,718","44,774","44,410"
" Dutchess County, New York","297,021","295,901","298,776","297,609","297,150"
" Erie County, New York","954,231","952,342","952,912","948,423","946,147"
" Essex County, New York","37,374","37,275","37,233","36,763","36,775"
" Franklin County, New York","47,573","47,477","47,106","46,393","46,502"
" Fulton County, New York","53,333","53,100","52,747","52,256","52,234"
" Genesee County, New York","58,383","58,302","57,889","57,398","57,529"
" Greene County, New York","47,932","47,752","47,884","47,345","47,062"
" Hamilton County, New York","5,105","5,079","5,122","5,121","5,082"
" Herkimer County, New York","60,144","60,037","60,023","59,584","59,484"
" Jefferson County, New York","116,711","116,069","116,902","115,461","114,787"
" Kings County, New York","2,736,119","2,718,447","2,637,522","2,589,531","2,561,225"
" Lewis County, New York","26,587","26,560","26,722","26,595","26,548"
" Livingston County, New York","61,840","61,590","61,691","61,340","61,158"
" Madison County, New York","68,017","67,935","67,382","67,054","66,921"
" Monroe County, New York","759,430","757,551","755,813","750,887","748,482"
" Montgomery County, New York","49,527","49,485","49,482","49,333","49,368"
" Nassau County, New York","1,395,767","1,390,491","1,391,809","1,385,294","1,381,715"
" New York County, New York","1,694,250","1,677,232","1,578,055","1,594,543","1,597,451"
" Niagara County, New York","212,666","212,126","211,719","210,467","209,457"
" Oneida County, New York","232,113","231,082","229,620","228,358","227,555"
" Onondaga County, New York","476,523","474,192","471,887","469,728","467,873"
" Ontario County, New York","112,485","112,363","112,661","112,481","112,494"
" Orange County, New York","401,315","400,986","405,167","406,491","407,470"
" Orleans County, New York","40,357","40,135","39,515","39,163","39,124"
" Oswego County, New York","117,528","117,429","117,984","118,239","118,162"
" Otsego County, New York","58,528","58,373","60,732","60,409","60,126"
" Putnam County, New York","97,678","97,635","98,228","98,312","98,060"
" Queens County, New York","2,405,425","2,388,864","2,329,008","2,278,558","2,252,196"
" Rensselaer County, New York","161,124","160,871","160,622","159,421","159,305"
" Richmond County, New York","495,752","494,598","493,547","491,358","490,687"
" Rockland County, New York","338,337","337,367","339,786","340,357","340,807"
" St. Lawrence County, New York","108,501","108,329","107,823","107,089","106,940"
" Saratoga County, New York","235,502","235,793","237,846","238,468","238,711"
" Schenectady County, New York","158,052","159,289","160,046","159,694","159,902"
" Schoharie County, New York","29,718","29,753","30,132","30,091","30,105"
" Schuyler County, New York","17,894","17,864","17,789","17,609","17,507"
" Seneca County, New York","33,816","33,516","33,414","32,586","32,349"
" Steuben County, New York","93,571","93,309","93,087","92,505","92,162"
" Suffolk County, New York","1,525,894","1,522,064","1,533,815","1,527,974","1,523,170"
" Sullivan County, New York","78,613","78,453","79,702","79,735","79,920"
" Tioga County, New York","48,452","48,348","48,080","47,766","47,715"
" Tompkins County, New York","105,737","99,772","105,966","104,299","103,558"
" Ulster County, New York","181,841","181,271","183,489","182,320","182,333"
" Warren County, New York","65,737","65,609","65,735","65,427","65,380"
" Washington County, New York","61,297","61,091","60,858","60,810","60,047"
" Wayne County, New York","91,286","91,202","91,149","90,958","90,829"
" Westchester County, New York","1,004,469","1,001,453","999,856","991,736","990,817"
" Wyoming County, New York","40,544","40,259","39,927","39,601","39,532"
" Yates County, New York","24,769","24,722","24,638","24,502","24,472"
" Alamance County, North Carolina","171,426","171,960","173,968","176,618","179,165"
" Alexander County, North Carolina","36,444","36,489","36,364","36,316","36,473"
" Alleghany County, North Carolina","10,883","10,895","11,079","11,193","11,342"
" Anson County, North Carolina","22,054","22,037","21,905","21,958","21,897"
" Ashe County, North Carolina","26,582","26,584","26,757","27,062","27,063"
" Avery County, North Carolina","17,810","17,847","17,522","17,541","17,561"
" Beaufort County, North Carolina","44,659","44,694","44,462","44,400","44,481"
" Bertie County, North Carolina","17,934","17,863","17,371","17,068","16,922"
" Bladen County, North Carolina","29,619","29,632","29,544","29,391","29,484"
" Brunswick County, North Carolina","136,695","138,168","144,843","152,908","159,964"
" Buncombe County, North Carolina","269,431","269,702","271,945","273,790","275,901"
" Burke County, North Carolina","87,551","87,565","87,589","87,972","88,338"
" Cabarrus County, North Carolina","225,791","227,219","231,788","235,909","240,016"
" Caldwell County, North Carolina","80,678","80,652","80,547","80,347","80,574"
" Camden County, North Carolina","10,357","10,408","10,821","11,090","11,137"
" Carteret County, North Carolina","67,685","67,728","68,729","69,326","69,615"
" Caswell County, North Carolina","22,733","22,697","22,691","22,431","22,807"
" Catawba County, North Carolina","160,597","160,888","161,675","163,167","164,645"
" Chatham County, North Carolina","76,260","76,664","78,141","79,939","81,624"
" Cherokee County, North Carolina","28,769","28,858","29,194","29,459","29,959"
" Chowan County, North Carolina","13,707","13,703","13,761","13,898","13,891"
" Clay County, North Carolina","11,084","11,142","11,375","11,615","11,864"
" Cleveland County, North Carolina","99,526","99,817","100,341","100,653","101,378"
" Columbus County, North Carolina","50,629","50,496","50,020","50,075","50,121"
" Craven County, North Carolina","100,722","100,307","100,396","101,087","102,391"
" Cumberland County, North Carolina","334,733","335,470","337,888","336,781","337,890"
" Currituck County, North Carolina","28,104","28,405","29,700","31,008","31,593"
" Dare County, North Carolina","36,913","37,039","37,914","37,987","38,110"
" Davidson County, North Carolina","168,927","169,203","170,717","172,380","174,804"
" Davie County, North Carolina","42,720","42,903","43,652","44,115","44,599"
" Duplin County, North Carolina","48,703","48,658","48,558","48,934","49,520"
" Durham County, North Carolina","324,846","325,567","329,849","333,292","336,892"
" Edgecombe County, North Carolina","48,898","48,775","48,333","48,389","48,832"
" Forsyth County, North Carolina","382,599","383,202","386,376","389,661","392,921"
" Franklin County, North Carolina","68,621","69,164","71,832","74,400","77,001"
" Gaston County, North Carolina","227,943","228,532","231,277","233,970","237,242"
" Gates County, North Carolina","10,478","10,452","10,403","10,370","10,343"
" Graham County, North Carolina","8,028","8,036","8,008","8,032","8,052"
" Granville County, North Carolina","61,003","61,061","61,365","61,702","62,192"
" Greene County, North Carolina","20,454","20,446","20,280","20,367","20,530"
" Guilford County, North Carolina","541,297","539,321","542,495","546,457","549,866"
" Halifax County, North Carolina","48,625","48,528","48,353","47,711","47,298"
" Harnett County, North Carolina","133,571","133,757","135,586","138,478","141,477"
" Haywood County, North Carolina","62,088","62,218","62,522","62,615","62,969"
" Henderson County, North Carolina","116,310","116,574","117,155","118,298","119,230"
" Hertford County, North Carolina","21,553","21,378","19,953","19,634","19,453"
" Hoke County, North Carolina","52,074","52,236","53,179","53,691","54,446"
" Hyde County, North Carolina","4,588","4,553","4,643","4,656","4,607"
" Iredell County, North Carolina","186,685","187,683","192,186","195,874","199,710"
" Jackson County, North Carolina","43,108","42,237","42,587","43,922","44,574"
" Johnston County, North Carolina","215,994","217,808","227,302","234,902","241,955"
" Jones County, North Carolina","9,174","9,149","9,210","9,219","9,401"
" Lee County, North Carolina","63,280","63,434","64,052","65,543","67,059"
" Lenoir County, North Carolina","55,123","55,046","54,683","54,499","54,895"
" Lincoln County, North Carolina","86,829","87,220","89,941","93,108","95,675"
" McDowell County, North Carolina","44,582","44,547","44,530","44,755","44,893"
" Macon County, North Carolina","37,019","37,098","37,470","37,969","38,412"
" Madison County, North Carolina","21,192","21,287","21,728","21,881","22,071"
