"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Sitka City and Borough, Alaska","8,449","8,426","8,383","8,353","8,282"
" Skagway Municipality, Alaska","1,240","1,238","1,147","1,092","1,095"
" Southeast Fairbanks Census Area, Alaska","6,807","6,821","7,007","7,016","7,077"
" Wrangell City and Borough, Alaska","2,125","2,126","2,102","2,071","2,064"
" Yakutat City and Borough, Alaska","663","682","710","685","687"
" Yukon-Koyukuk Census Area, Alaska","5,351","5,309","5,278","5,169","5,129"
" Apache County, Arizona","66,026","65,913","65,389","65,533","65,036"
" Cochise County, Arizona","125,445","125,527","126,119","125,487","124,640"
" Coconino County, Arizona","145,104","145,192","142,897","144,223","144,472"
" Gila County, Arizona","53,271","53,351","53,549","53,922","54,003"
" Graham County, Arizona","38,541","38,646","38,921","38,822","39,525"
" Greenlee County, Arizona","9,562","9,528","9,400","9,327","9,369"
" La Paz County, Arizona","16,546","16,569","16,385","16,535","16,710"
" Maricopa County, Arizona","4,425,102","4,445,059","4,499,438","4,555,833","4,585,871"
" Mohave County, Arizona","213,276","214,185","217,164","220,905","223,682"
" Navajo County, Arizona","106,714","106,763","107,726","108,800","109,175"
" Pima County, Arizona","1,043,435","1,045,175","1,048,914","1,057,476","1,063,162"
" Pinal County, Arizona","426,000","430,187","448,993","465,037","484,239"
" Santa Cruz County, Arizona","47,668","47,712","47,956","48,680","49,158"
" Yavapai County, Arizona","236,210","237,217","242,352","246,230","249,081"
" Yuma County, Arizona","205,002","205,659","207,284","208,874","213,221"
" Arkansas County, Arkansas","17,148","17,107","16,687","16,498","16,307"
" Ashley County, Arkansas","19,058","18,957","18,654","18,348","18,262"
" Baxter County, Arkansas","41,628","41,686","42,224","42,485","42,875"
" Benton County, Arkansas","284,340","286,618","294,297","302,822","311,013"
" Boone County, Arkansas","37,367","37,381","37,894","38,280","38,530"
" Bradley County, Arkansas","10,545","10,495","10,343","10,168","10,104"
" Calhoun County, Arkansas","4,740","4,736","4,728","4,687","4,641"
" Carroll County, Arkansas","28,257","28,240","28,539","28,717","28,814"
" Chicot County, Arkansas","10,211","10,156","10,052","9,834","9,538"
" Clark County, Arkansas","21,445","21,385","21,244","21,276","21,274"
" Clay County, Arkansas","14,548","14,529","14,362","14,271","14,201"
" Cleburne County, Arkansas","24,710","24,704","25,028","25,253","25,445"
" Cleveland County, Arkansas","7,550","7,552","7,486","7,467","7,378"
" Columbia County, Arkansas","22,800","22,744","22,490","22,286","22,150"
" Conway County, Arkansas","20,710","20,730","20,902","21,021","21,077"
" Craighead County, Arkansas","111,242","111,619","111,794","112,863","113,993"
" Crawford County, Arkansas","60,119","60,142","60,430","61,041","61,891"
" Crittenden County, Arkansas","48,156","48,076","47,438","47,051","47,139"
" Cross County, Arkansas","16,828","16,795","16,672","16,590","16,420"
" Dallas County, Arkansas","6,481","6,444","6,309","6,196","6,185"
" Desha County, Arkansas","11,398","11,324","11,048","10,758","10,479"
" Drew County, Arkansas","17,345","17,313","17,057","16,912","16,945"
" Faulkner County, Arkansas","123,493","123,820","125,608","127,565","129,951"
" Franklin County, Arkansas","17,103","17,139","17,166","17,270","17,468"
" Fulton County, Arkansas","12,074","12,054","12,147","12,355","12,421"
" Garland County, Arkansas","100,173","100,258","100,393","99,982","99,784"
" Grant County, Arkansas","17,960","18,018","18,123","18,129","18,383"
" Greene County, Arkansas","45,738","45,864","46,341","46,408","46,743"
" Hempstead County, Arkansas","20,069","19,989","19,667","19,481","19,343"
" Hot Spring County, Arkansas","33,044","33,075","33,079","33,149","33,258"
" Howard County, Arkansas","12,786","12,757","12,695","12,622","12,533"
" Independence County, Arkansas","37,931","37,940","38,100","38,254","38,320"
" Izard County, Arkansas","13,578","13,602","13,921","14,029","14,169"
" Jackson County, Arkansas","16,765","16,761","16,781","16,654","16,784"
" Jefferson County, Arkansas","67,258","66,830","65,637","64,295","63,661"
" Johnson County, Arkansas","25,749","25,724","25,957","25,970","26,129"
" Lafayette County, Arkansas","6,305","6,293","6,159","6,129","6,095"
" Lawrence County, Arkansas","16,221","16,218","16,329","16,194","16,318"
" Lee County, Arkansas","8,593","8,526","8,560","8,367","8,201"
" Lincoln County, Arkansas","12,936","12,890","13,168","12,910","12,898"
" Little River County, Arkansas","12,026","11,974","11,973","11,865","11,805"
" Logan County, Arkansas","21,128","21,100","21,229","21,258","21,400"
" Lonoke County, Arkansas","74,012","74,055","74,770","75,199","75,944"
" Madison County, Arkansas","16,519","16,545","16,944","17,463","17,775"
" Marion County, Arkansas","16,828","16,873","16,984","17,289","17,514"
